id,nombre,tipo,camara_origen,etapa_actual,fecha_presentacion,fecha_ultima_actualizacion,resumen,actor_impulsa,actor_opone,fuente_url,votos_favor,votos_contra,votos_abstencion,bancadas_en_contra,tema_id_relacionado,impacto_c3,razon_impulsa,razon_opone,historial_etapas,pronunciamientos,comision_nombre,contexto_origen,probabilidad_avance,analisis_riesgo
ley-egresos-2027,Ley de Egresos de la Federación 2027,Ley de Egresos,Ejecutivo,Presentada,2026-09-08,2026-09-08,"Propone un gasto neto de 10.515 billones de pesos para 2027 (+0.7% real vs. 2026): 7.311 billones de gasto programable y 3.204 billones no programable. Los rubros más grandes son el costo de la deuda (1.575 billones), participaciones a estados y municipios (1.548 billones) y los Programas para el Bienestar (1.025 billones), además de inversión en Pemex (255,500 mdp), trenes (150,900 mdp) y CFE (60,900 mdp). Los ingresos estimados son 9.1565 billones de pesos.",Claudia Sheinbaum (Ejecutivo Federal),,https://www.ppef.hacienda.gob.mx/es/PPEF2027/introduccion,,,,,ley-egresos-2027,,"Es el mecanismo constitucional anual mediante el cual el Ejecutivo define y somete a discusión el gasto público del siguiente año -- fija cuánto se gasta, en qué y de dónde sale el dinero para el ejercicio fiscal siguiente.",,Presentada:2026-09-08,,,"Es el instrumento presupuestal que el Ejecutivo envía cada año por mandato constitucional -- no nace de un evento coyuntural puntual, sino del ciclo fiscal ordinario del gobierno.",Alta,"No hay antecedente de que un presupuesto sea rechazado en México -- el riesgo real no es que no se apruebe, sino la negociación de montos y distribución en la Comisión de Presupuesto antes de llegar al Pleno, sobre todo en rubros sensibles (seguridad, salud, transferencias a estados)."
reforma-doble-nacionalidad,Reforma constitucional contra la doble nacionalidad en candidaturas a Presidencia y gubernaturas,Reforma constitucional,Diputados,Pleno,2026-08-30,2026-09-22,Establece que las candidaturas a la Presidencia de la República y a las gubernaturas deberán ser ocupadas por personas mexicanas por nacimiento sin otra nacionalidad. Quienes ya ocupen el cargo no podrán adquirir otra nacionalidad ni invocar ciudadanía extranjera ante autoridades de otro país. Aplica a partir del proceso electoral 2028 y no afecta a quienes ya están en funciones.,Claudia Sheinbaum (Ejecutivo Federal),Federico Döring (PAN); Noemí Berenice Luna Ayala (PAN); Paulina Rubio Fernández (PAN); César Alejandro Domínguez Domínguez (PRI); Iraís Virginia Reyes de la Torre (MC),https://www.infobae.com/mexico/2026/09/09/diputados-aprueban-reforma-para-impedir-la-doble-nacionalidad-a-quienes-gobiernen-mexico/,26,5,0,"PRI y Movimiento Ciudadano votaron en contra; PAN se retiró de la sesión antes de la votación, en protesta",reforma-doble-nacionalidad,,"Busca evitar que quien ocupe la Presidencia o una gubernatura pueda tener otra nacionalidad o invocar ciudadanía extranjera ante otro país. En la Cámara de Diputados el proceso lo conduce Ricardo Monreal, coordinador de la bancada mayoritaria -- las fuentes consultadas no lo identifican como coautor de la iniciativa, solo como quien fija los tiempos de discusión.",PAN (retiro): la medida restringe derechos políticos de aproximadamente 4 millones de mexicanos en el extranjero sin audiencias previas. PRI y MC (votaron en contra): restringe derechos políticos y se aprobó sin un diagnóstico documentado.,Presentada:2026-08-30|Comisión:2026-08-30|Pleno:2026-09-22,"Katia Castillo (Morena) — A favor: Gobernar no significa equilibrar dos lealtades jurídicas, significa representar y defender sin ninguna ambigüedad los intereses de nuestra nación.|Gilberto Herrera Solórzano (Morena) — A favor: Hay de dos sopas. ¿Es con México o estás contra México?|Lilia Aguilar (PT) — A favor: La Constitución ya exige nacionalidad mexicana para ciertos cargos; la reforma solo da certeza sobre la lealtad.|César Alejandro Domínguez Domínguez (PRI) — Votó en contra: cuestionó por qué restringir derechos políticos sin casos documentados de que la doble nacionalidad haya dañado al país.|Iraís Virginia Reyes de la Torre (MC) — Votó en contra: Una segunda nacionalidad no significa una segunda lealtad. Tener dos pasaportes no significa que tengas la mitad del compromiso con México.|Federico Döring (PAN) — Se retiró, no votó: pidió parlamento abierto y citó datos de Conapo de que unos 4 millones de mexicanos en el extranjero podrían tener doble nacionalidad.|Noemí Berenice Luna Ayala (PAN) — Se retiró, no votó: advirtió que la reforma afectaría a mexicanos con doble nacionalidad por circunstancias familiares o migratorias.|Paulina Rubio Fernández (PAN) — Se retiró, no votó: criticó la falta de parlamento abierto y de consulta a migrantes, y anunció el retiro de su bancada.",Comisión de Puntos Constitucionales,"La empujó el caso de Francisco García Cabeza de Vaca, ex gobernador de Tamaulipas prófugo por corrupción, que desde Estados Unidos -- país del que también es ciudadano -- anunció aspirar a la Presidencia en 2030; Sheinbaum lo citó al defender la iniciativa.",Media-Alta,"El riesgo no es que Morena y aliados carezcan de los votos (tienen mayoría calificada); es que, al tocar derechos político-electorales, quede expuesta a un amparo o a una queja ante instancias interamericanas, y que la discusión sobre si aplica de forma retroactiva (lo que afectaría directamente a Cabeza de Vaca) se convierta en el punto de fricción que retrase su dictamen."
reforma-ley-aduanera-2025,Reforma a la Ley Aduanera 2025 (modernización y digitalización aduanera),Reforma de ley,Diputados,Publicada,2025-09-09,2025-11-19,"Reforma de 460 páginas que crea la Agencia Nacional de Aduanas de México (ANAM), obliga a videovigilancia, trazabilidad y monitoreo en tiempo real de mercancías, sustituye la patente vitalicia de agente aduanal por vigencias de 20 años con certificación cada 3, exige expedientes digitales (CFDI y facturas) para declaraciones aduaneras, y crea un Consejo Aduanero. Busca combatir evasión, contrabando y subvaluación.",Claudia Sheinbaum (Ejecutivo Federal),Blanca Leticia Gutiérrez (PAN),https://www.elfinanciero.com.mx/nacional/2025/10/08/diputados-aprueban-ley-aduanera-propuesta-por-sheinbaum-panistas-se-burlan/,338,129,0,PAN,,,"Busca modernizar y digitalizar las operaciones aduaneras para reducir evasión fiscal, contrabando y subvaluación, y fortalecer los controles sobre agentes aduanales, almacenes y empresas de embalaje.","PAN (Blanca Leticia Gutiérrez): la reforma no combate el huachicol fiscal ni la corrupción, afecta el comercio exterior, criminaliza a los agentes aduanales y concentra facultades sin suficientes contrapesos.",Presentada:2025-09-09|Comisión:2025-09-09|Pleno:2025-10-08|Aprobada:2025-10-21|Publicada:2025-11-19,"Blanca Leticia Gutiérrez (PAN) — En contra: La reforma no combate el huachicol fiscal ni la corrupción, y concentra facultades sin suficientes contrapesos.",Comisión de Hacienda y Crédito Público,"Surge en el contexto de la presión de Washington sobre México por el paso de fentanilo y precursores químicos, y de las amenazas arancelarias de Trump; el gobierno buscó mostrar controles aduaneros más estrictos como parte de la negociación comercial.",Concluida,"Ya publicada. El riesgo, ahora, es de cumplimiento: que la fiscalización más estricta no se traduzca en resultados reales contra el contrabando técnico y la triangulación de mercancía, lo que debilitaría el argumento con el que México negocia frente a Washington."
reforma-organismos-autonomos-2024,Reforma constitucional de Simplificación Orgánica (extinción de siete organismos autónomos),Reforma constitucional,Diputados,Publicada,2024-02-05,2024-12-20,"Extingue siete organismos autónomos -- INAI, Cofece, IFT, Coneval, CRE, CNH y Mejoredu -- y traslada sus funciones a dependencias del Ejecutivo federal y a un nuevo organismo de competencia económica. Forma parte del paquete de reformas constitucionales impulsado originalmente por Andrés Manuel López Obrador y concluido durante el gobierno de Claudia Sheinbaum.",Andrés Manuel López Obrador (Ejecutivo Federal); continuada por Claudia Sheinbaum (Ejecutivo Federal),Héctor Saúl Téllez (PAN); Laura Ballesteros (MC); Paloma Domínguez (PRI),https://www.dof.gob.mx/nota_detalle.php?codigo=5745905&fecha=20%2F12%2F2024,332,119,,"PAN, PRI y Movimiento Ciudadano votaron en contra",desaparicion-organismos-autonomos,,"Busca reducir el gasto público y la duplicidad de funciones entre organismos autónomos y dependencias del Ejecutivo, trasladando sus atribuciones a la administración pública federal y, en el caso de competencia económica, a un nuevo organismo.","PAN, PRI y MC: advierten pérdida de contrapesos independientes frente al Ejecutivo, riesgo de opacidad y captura política de funciones como transparencia, competencia económica y regulación energética.",Presentada:2024-02-05|Comisión:2024-02-05|Pleno:2024-11-20|Aprobada:2024-11-28|Publicada:2024-12-20,"Héctor Saúl Téllez (PAN) — En contra: Fue cierta la amenaza de 'al diablo las instituciones'... robándose más de 350 mil millones de pesos.|Laura Ballesteros (MC) — En contra: La corrupción y la opacidad será la regla. Cuando les pregunten a los militares, ya ni siquiera tendrán la obligación de responder.|Paloma Domínguez (PRI) — En contra: Citó a relatores de la ONU que advirtieron que atomizar organismos autónomos nulificaría su potencial como mecanismo de democratización.|Alfonso Ramírez Cuéllar (Morena) — A favor: La política de competencia es también política de bienestar.|Ricardo Crespo (Morena) — A favor: No han dado los resultados que esperó o que espera México... hay corrupción.",Comisión de Puntos Constitucionales,"Es la culminación de la ofensiva de austeridad de AMLO contra los organismos autónomos (acusados de ser costosos y duplicar funciones de dependencias ya existentes), que no pudo aprobarse como reforma constitucional hasta que Morena y aliados obtuvieron mayoría calificada tras la elección de junio de 2024.",Concluida,"Ya publicada. El riesgo pendiente es operativo: que las funciones que antes hacían los organismos extintos (transparencia, competencia económica, regulación de telecom) queden mal absorbidas por las dependencias que las heredaron, generando huecos de supervisión más que ahorro real."
reforma-ley-aduanera-2026,"Reforma a la Ley Aduanera 2026 (segunda fase, esquemas de fiscalización)",Reforma de ley,Diputados,Presentada,2026-09-08,2026-09-08,"Nueva modificación a la Ley Aduanera enviada junto con otras dos iniciativas -- la Ley General para el Fortalecimiento y Armonización Catastral y Registral, y la Ley de Economía Digital para Pagos Digitales y Electrónicos. Busca perfeccionar los esquemas de fiscalización aduanera y agilizar los trámites de comercio exterior.",Claudia Sheinbaum (Ejecutivo Federal),,https://www.sdpnoticias.com/mexico/sheinbaum-envia-tres-iniciativas-a-la-camara-de-diputados-reforma-a-la-ley-aduanera-y-dos-nuevas-leyes/,,,,,,,"Busca perfeccionar los esquemas de fiscalización aduanera y agilizar los trámites de comercio exterior, como continuación de la reforma aduanera aprobada en 2025.",,Presentada:2026-09-08,,,"Segunda fase de la misma presión comercial y de seguridad con Estados Unidos (fentanilo, triangulación de mercancía china, aranceles): endurece la fiscalización una vez vista la primera ronda de 2025.",Alta,"Es la segunda fase de una reforma que ya tiene precedente de haberse aprobado (2025), lo que la hace previsible en el corto plazo. El riesgo real es externo: si la presión arancelaria de Trump se relaja o se resuelve por otra vía, esta segunda fase puede perder urgencia política y quedarse esperando en comisión."
ley-catastral-2026,Ley General para el Fortalecimiento y Armonización Catastral y Registral,Ley nueva,Diputados,Comisión,2026-09-08,2026-09-14,"Nueva ley general que busca aumentar la recaudación predial sin subir tasas, mediante la actualización de valores catastrales, el registro de predios omitidos, un sistema de identidad catastral unificado ligado al registro público de la propiedad, y una Plataforma Nacional Catastral con interoperabilidad entre municipios, estados y federación. Se presentó junto con las reformas a la Ley Aduanera 2026 y la Ley de Economía Digital.",Claudia Sheinbaum (Ejecutivo Federal),,https://politica.expansion.mx/mexico/2026/09/09/sheinbaum-recaudacion-predial-ley-catastral,,,,,,,"Busca elevar la recaudación municipal sin subir impuestos, actualizando valores catastrales desactualizados e incorporando predios que hoy no están registrados.",,Presentada:2026-09-08|Comisión:2026-09-14,,"Comisión de Transparencia y Anticorrupción (recibió antes opinión presupuestal de la Comisión de Presupuesto y Cuenta Pública, sin impacto fiscal, el 2026-09-14)",Responde al esfuerzo de modernización de la hacienda pública local -- catastros desactualizados y dispersos entre municipios que limitan la recaudación del impuesto predial -- más que a un evento noticioso puntual.,Media,"Es la única de las 16 que depende de coordinación con estados y municipios, no solo del Congreso federal -- el riesgo es la resistencia de gobiernos estatales (sobre todo de oposición) que ven en la armonización catastral una intromisión en una facultad que hoy es suya."
curp-biometrica-2025,Reforma en materia de desaparición forzada (CURP biométrica y Plataforma Única de Identidad),Ley general,Senado,Publicada,2025-04-01,2025-07-19,"Crea la CURP con datos biométricos (huellas dactilares y fotografía) de carácter obligatorio y la Plataforma Única de Identidad, como parte de una reforma integral en materia de desaparición forzada de personas. Busca centralizar la identificación ciudadana para agilizar la búsqueda de personas desaparecidas.",Claudia Sheinbaum (Ejecutivo Federal),Ricardo Anaya (PAN); Raymundo Bolaños (PAN); Imelda Sanmiguel (PAN); Claudia Anaya (PRI); Karla Toledo (PRI); R3D (Red en Defensa de los Derechos Digitales),https://www.proceso.com.mx/nacional/politica/2025/6/26/avanza-ley-sobre-desaparicion-forzada-reforma-consolida-al-gobierno-espia-ricardo-anaya-video-352060.html,89,13,,PAN y PRI votaron en contra,curp-biometrica,,Busca centralizar la identificación biométrica de la población para agilizar la búsqueda de personas desaparecidas y responder a las exigencias de colectivos de búsqueda.,"PAN y PRI advierten que crea un mecanismo de vigilancia masiva (""gobierno espía""), con acceso del gobierno federal a datos biométricos y de consumo de cualquier ciudadano sin controles suficientes; organizaciones de derechos digitales (R3D) alertan riesgo de hackeo y discriminación; colectivos de búsqueda señalan que no resuelve los casos históricos de desaparición.",Presentada:2025-04-01|Comisión:2025-06-26|Pleno:2025-06-27|Aprobada:2025-07-01|Publicada:2025-07-19,"Ricardo Anaya (PAN) — En contra: ""¿Qué están buscando? Están buscando que el gobierno federal... pueda teclear tu CURP y tenga acceso a foto, tus huellas digitales, todas tus compras de Amazon.""|Claudia Anaya (PRI) — En contra: ""¿Cuál es la respuesta de la autoridad... a las exigencias de las madres buscadoras? Pues un instrumento y un mecanismo de control, una CURP biométrica obligatoria.""|Margarita Valdez (presidenta Comisión de Gobernación, Senado) — A favor: ""Un ser humano nunca olvida a un hijo, no podemos decirle a una madre que no sabemos qué pasó.""|Madres Buscadoras — Postura mixta: reconocen utilidad para casos recientes de desaparición pero señalan que no atiende adecuadamente los casos históricos.",Comisiones Unidas de Gobernación y de Estudios Legislativos (Senado),"Nace directamente de la crisis de desapariciones en México: el decreto señala explícitamente que su objetivo es fortalecer la búsqueda, localización e identificación de personas desaparecidas mediante el cruce de bases de datos entre autoridades.",Concluida,"Ya publicada. El riesgo es de confianza pública: si el cruce de bases de datos biométricas no se traduce en resultados visibles para las familias buscadoras, la herramienta pierde legitimidad frente al mismo colectivo que la motivó."
ley-telecomunicaciones-2025,"Ley en Materia de Telecomunicaciones y Radiodifusión (""Ley Espía"")",Ley nueva,Senado,Publicada,2025-04-23,2025-07-16,"Nueva ley que crea la Comisión Reguladora de Telecomunicaciones (sustituyendo al IFT), permite a autoridades acceder a metadatos de comunicaciones sin orden judicial en ciertos supuestos, regula contenidos digitales y prohíbe publicidad de gobiernos extranjeros.",Claudia Sheinbaum (Ejecutivo Federal),Ricardo Anaya (PAN); Rubén Moreira (PRI); Manuel Añorve (PRI); Fuensanta Guadalupe Guerrero Esquivel (PRI); Carmen Rocío González Alonso (PAN),https://lavozdequeretaro.com/destacadas/senado-aprueba-ley-de-telecomunicaciones-cambios-y-polemica/,77,30,,PAN y PRI votaron en contra,ley-telecomunicaciones-2025,,"Busca modernizar el marco regulatorio de telecomunicaciones, sustituir al IFT por una nueva comisión reguladora, y sentar las bases de acceso universal a la conectividad digital.","PAN y PRI advierten que la ley permite el acceso a metadatos de comunicaciones sin orden judicial, abriendo la puerta al espionaje y a la censura de contenidos digitales.",Presentada:2025-04-23|Comisión:2025-04-24|Pleno:2025-06-30|Aprobada:2025-07-01|Publicada:2025-07-16,"Ricardo Anaya (PAN) — En contra: ""Esto abre la puerta al espionaje y a la censura.""|Rubén Moreira (PRI) — En contra: ""El gobierno sabrá todo de ti… te despiertas, ves tu celular, ya lo sabe.""|Manuel Añorve (PRI) — En contra: la ley ""legaliza la censura y viola la Constitución.""|Fuensanta Guadalupe Guerrero Esquivel (PRI) — En contra: presentó una moción suspensiva para regresar la minuta a comisión, rechazada.|Carmen Rocío González Alonso (PAN) — En contra: presentó otra moción suspensiva, también rechazada.|Javier Corral (Morena) — A favor: respaldó la ley como necesaria para regular el sector.|Alejandra Barrales (MC) — A favor: respaldó la iniciativa dentro de la coalición gobernante.","Comisiones Unidas de Radio, Televisión y Cinematografía, y de Estudios Legislativos (Senado)","El gobierno la presentó como herramienta de seguridad -- permite geolocalizar celulares en tiempo real sin orden judicial y bloquear señal en penales -- dentro de la estrategia contra el crimen organizado; sus críticos la leyeron como vigilancia y censura, de ahí el apodo ""Ley Espía"".",Concluida,"Ya publicada, pero es la que tiene el riesgo de litigio más alto de las 16: la geolocalización de celulares sin orden judicial es exactamente el tipo de disposición que la Suprema Corte ha invalidado antes por violar el derecho a la privacidad, así que hay margen real para amparos que la acoten en la práctica aunque el texto ya esté vigente."
ley-general-aguas-2025,Ley General de Aguas y reforma a la Ley de Aguas Nacionales,Ley nueva,Diputados,Publicada,2025-12-01,2025-12-11,"Nueva ley que crea un régimen general de gestión del agua, condiciona reasignaciones de volúmenes de agua a la aprobación federal, y busca garantizar el derecho humano al agua ante la escasez hídrica.",Claudia Sheinbaum (Ejecutivo Federal),Xóchitl Gálvez (PAN); Jorge Romero (PAN); productores agrícolas (protestas y bloqueos),https://www.infobae.com/mexico/2025/12/05/el-senado-aprueba-la-nueva-ley-general-de-aguas-y-reforma-la-ley-de-aguas-nacionales/,328,131,5,PAN y otras bancadas presentaron reservas y votaron en contra,,,"Busca garantizar el derecho humano al agua y actualizar el régimen de concesiones ante la escasez hídrica, centralizando la gestión de reasignaciones de volúmenes de agua.","PAN advierte que concentra las decisiones sobre agua en el gobierno federal, afectando a más de 2 millones de productores agrícolas que ya no podrían heredar o vender libremente sus asignaciones de agua; productores realizaron protestas y bloqueos.",Presentada:2025-12-01|Comisión:2025-12-03|Pleno:2025-12-04|Aprobada:2025-12-05|Publicada:2025-12-11,"Xóchitl Gálvez (PAN) — En contra: ""La decisión de aprobar la Ley de Aguas responde al control político de Morena.""|Jorge Romero (PAN) — En contra: la reforma concentra todas las decisiones sobre agua en el gobierno federal y amenaza los derechos de propiedad de más de 2 millones de productores agrícolas.|Ricardo Monreal (Morena) — A favor: ""Quiero felicitar a mis compañeros de Morena, estoy muy orgulloso de ustedes.""",Comisión de Recursos Hidráulicos (Diputados),"Responde a lo que la Conagua describió como ""una crisis sin precedente"" de agua: 71% del territorio con presión hídrica elevada, 157 acuíferos sobreexplotados y concesiones que pasaron de 2,000 a 320,000 en una década bajo la ley de 1992, con sequías que ya afectaban a 106 municipios.",Concluida,"Ya publicada, con protestas y bloqueos de colectivos de usuarios documentados antes de su aprobación -- el riesgo ahora es de implementación: que la reasignación de concesiones genere conflictos regionales concretos (agua industrial vs. agua doméstica) que la ley por sí sola no resuelve."
reforma-maiz-transgenico-2025,Reforma constitucional en materia de conservación y protección de los maíces nativos,Reforma constitucional,Diputados,Publicada,2024-02-05,2025-03-17,"Eleva a rango constitucional la prohibición del cultivo de maíz genéticamente modificado para consumo humano, reconociendo a México como centro de origen y diversidad del maíz y como elemento de identidad de pueblos indígenas y afromexicanos.",Andrés Manuel López Obrador (Ejecutivo Federal); continuada por Claudia Sheinbaum (Ejecutivo Federal),Leticia Barrera Maldonado (PRI); Paulo Gonzalo Martínez (PAN),https://www.proceso.com.mx/nacional/2025/2/25/la-camara-de-diputados-aprueba-reforma-que-prohibe-el-maiz-transgenico-344706.html,409,69,0,PRI y PAN votaron mayoritariamente en contra,,,"Busca proteger la soberanía alimentaria y las variedades nativas del maíz como elemento de identidad nacional, en el contexto de la derrota de México en el panel T-MEC (dic 2024) que impugnó el decreto que prohibía el maíz transgénico en el país.","PRI señala incongruencia entre prohibir la siembra mientras México importa casi 24 millones de toneladas de maíz al año, principalmente transgénico; PAN advierte riesgo comercial bajo el T-MEC, señalando que México importa maíz transgénico por más de 4,000 millones de dólares anuales, principalmente de Estados Unidos.",Presentada:2024-02-05|Comisión:2025-02-24|Pleno:2025-02-25|Aprobada:2025-03-05|Publicada:2025-03-17,"Leticia Barrera Maldonado (PRI) — En contra: considera incongruente prohibir la siembra mientras México importa casi 24 millones de toneladas anuales, principalmente transgénicas.|Paulo Gonzalo Martínez (PAN) — En contra: ""México importa maíz transgénico por más de 4 mil millones de dólares al año, principalmente de Estados Unidos"", y advierte riesgo para el T-MEC.",Comisión de Puntos Constitucionales (Diputados),"Llega tras el fallo del panel de solución de controversias del T-MEC (diciembre 2024) que fue desfavorable a México en su disputa con EU sobre la restricción al maíz transgénico; el gobierno respondió elevando a rango constitucional la prohibición de cultivo, aunque sin poder controlar la importación, para proteger las variedades nativas.",Concluida,"Ya publicada. El riesgo es que la prohibición de cultivo no venga acompañada de control efectivo sobre la importación de maíz transgénico (que México sigue comprando), lo que deja la protección incompleta frente a lo que motivó la reforma."
