id,nombre,cargo,grupo,nucleo,nivel_riesgo,nivel_influencia,avatar_local,iniciales,descripcion,fuente_nombre,fuente_url,fecha_corte,fractura_nivel,fractura_motivo,op_politica,cap_conciliadora,com_conectiva,legitimidad,resiliencia,foda_fortalezas,foda_oportunidades,foda_debilidades,foda_amenazas
sheinbaum,Claudia Sheinbaum Pardo,Presidenta de México,Sheinbaum,A,medio,10,,CS,Presidenta de México desde el 1 de octubre de 2024. Ha acelerado la reconfiguración de su gabinete rumbo a 2027 y sostiene una postura de defensa de soberanía ante la presión de Washington por huachicol fiscal y revocación de visas a políticos mexicanos.,El Financiero,https://www.elfinanciero.com.mx/nacional/2026/04/05/que-cambios-ha-hecho-claudia-sheinbaum-en-su-gabinete-presidencial/,2026-04-05,,,7,6,6,8,8,Control institucional consolidado sobre el gabinete y Morena; alta legitimidad electoral; comunicación diaria directa (mañanera).,Renegociación del T-MEC como espacio para fijar agenda propia distinta a la de AMLO; margen para mostrar resultados propios en seguridad antes de 2027.,Dependencia de la narrativa y figuras heredadas de AMLO (comparaciones constantes); tensión con la familia López Beltrán por el caso de Andy.,"Presión sostenida de la administración Trump (aranceles, amenazas de intervención militar, revocación de visas); crisis de seguridad en Sinaloa y el caso Rocha Moya golpeando la credibilidad de Morena."
amlo,Andrés Manuel López Obrador,Expresidente / fundador de Morena,AMLO,A,medio,8,,AM,Expresidente de México (2018-2024) y fundador de Morena. Continúa activo políticamente desde Palenque y Tabasco; su círculo familiar quedó bajo presión tras la revocación de visas estadounidenses a sus hijos en agosto de 2026.,El Universal (Mario Maldonado),https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/,2026-08-17,alto,Fundador del movimiento con base de poder propia e independiente de Sheinbaum; posible tensión de sucesión hacia 2030.,,,,,,,,,
andy,Andrés Manuel López Beltrán ('Andy'),Operador político en Tabasco / Morena,AMLO,B,alto,6,,AL,"Hijo de AMLO y figura operativa de Morena en Tabasco. Estados Unidos le revocó la visa en agosto de 2026; ha sido señalado en distintos reportes periodísticos como posible vinculado a redes de huachicol fiscal, señalamiento que la Presidencia ha negado.",Yucatán (con Sheinbaum),https://www.yucatan.com.mx/mexico/2026/08/18/claudia-sheinbaum-niega-vinculo-de-hijo-de-amlo-con-huachicol-fiscal-retiro-de-visa-a-andy-lopez-beltran-es-tema-politico.html,2026-08-18,medio,Base política propia en Tabasco como operador de Morena; sin fricción abierta documentada con Sheinbaum todavía.,,,,,,,,,
alito,Alejandro 'Alito' Moreno,Dirigente nacional del PRI,Oposición (PRI),C,medio,5,,AM,Dirigente nacional del PRI y una de las voces más frecuentes de la oposición a Sheinbaum. La Presidencia lo ha señalado públicamente de pedir presión de Estados Unidos contra adversarios políticos mexicanos.,ViveUSA,https://www.viveusa.mx/noticias/sheinbaum-acusa-a-eu-de-injerencia-por-cancelar-la-visa-del-hijo-del-expresidente-lopez-obrador/,2026-08-15,,,,,,,,,,,
garcia_harfuch,Omar García Harfuch,Secretario de Seguridad y Protección Ciudadana,Sheinbaum,A,bajo,9,,OG,"Titular de la SSPC, pieza central del gabinete de seguridad de Sheinbaum desde el inicio del sexenio.",Yahoo Finanzas,https://es-us.finanzas.yahoo.com/noticias/conformado-gabinete-presidenta-claudia-sheinbaum-135858038.html,2024-10-01,bajo,"Cargo designado por Sheinbaum; su relevancia depende directamente de la confianza presidencial, sin base electoral propia.",,,,,,,,,
monreal,Ricardo Monreal,Presidente de la JUCOPO y Coordinador del Grupo Parlamentario de Morena en la Cámara de Diputados,Sheinbaum,B,bajo,9,,RM,Figura política más poderosa de la Cámara de Diputados. Controla la negociación del Presupuesto de Egresos de la Federación y las prioridades legislativas de la agenda presidencial.,Facebook Diputados Morena,https://www.facebook.com/diputadosmorena/posts/el-presidente-de-la-junta-de-coordinaci%C3%B3n-pol%C3%ADtica-jucopo-diputado-ricardo-monre/1564330738413752/,2026-08-26,medio,"Trayectoria e influencia propia como operador legislativo histórico de Morena, previo a la llegada de Sheinbaum.",,,,,,,,,
adan_augusto,Adán Augusto López Hernández,Exlíder de Morena en el Senado,AMLO,B,medio,6,,AA,"Dejó la coordinación de Morena en el Senado en febrero de 2026 para enfocarse en trabajo territorial rumbo a 2027; ha sido mencionado en la cobertura del caso de huachicol fiscal, sin imputación formal.",Quinto Poder,https://quinto-poder.mx/politicos/2026/04/04/reacomodo-del-gabinete-de-sheinbaum-en-lo-que-va-de-su-gobierno-65515.html,2026-04-04,medio,Base propia en Tabasco como exgobernador y exsecretario de Gobernación; mencionado (sin imputación) en el caso de huachicol fiscal.,,,,,,,,,
godoy,Ernestina Godoy,Fiscal General de la República,Sheinbaum,B,bajo,7,,EG,Dejó la Consejería Jurídica de la Presidencia en noviembre de 2025 para encabezar la Fiscalía General de la República tras la salida de Alejandro Gertz Manero.,El Financiero,https://www.elfinanciero.com.mx/nacional/2026/04/05/que-cambios-ha-hecho-claudia-sheinbaum-en-su-gabinete-presidencial/,2026-04-05,bajo,Cargo designado; trayectoria construida dentro del círculo cercano de Sheinbaum desde su etapa en la CDMX.,,,,,,,,,
gertz,Alejandro Gertz Manero,Exfiscal General / embajador designado en Alemania,Institucional,,medio,4,,AG,"Salió de la FGR y fue designado embajador de México en Alemania; en 2025 declaró que Rafael Ojeda Durán había denunciado 'problemas' en la Semar, versión que el propio Ojeda no confirmó como denuncia formal.",Proceso,https://www.proceso.com.mx/nacional/justicia/2026/5/12/ojeda-nunca-denuncio-el-caso-de-huachicol-fiscal-en-el-que-estan-implicados-sus-sobrinos-373940.html,2026-05-12,,,,,,,,,,,
montiel,Ariadna Montiel,Presidenta del Comité Ejecutivo Nacional de Morena,Sheinbaum,B,bajo,6,,AM,"Dejó la Secretaría de Bienestar en abril de 2026 para asumir la dirigencia nacional de Morena, en una jugada leída como fortalecimiento de la estructura partidista rumbo a 2027.",Expansión Política,https://politica.expansion.mx/mexico/2026/04/29/cambios-gabinete-sheinbaum-para-tomar-control-en-morena,2026-04-29,bajo,Cargo designado en la dirigencia de Morena; sin base electoral propia independiente.,,,,,,,,,
ebrard,Marcelo Ebrard,Secretario de Economía,Sheinbaum,B,bajo,8,,ME,"Titular de la Secretaría de Economía, a cargo de la negociación comercial con Estados Unidos y Canadá en el contexto de la revisión del T-MEC.",La Silla Rota,https://lasillarota.com/nacion/2026/5/1/gobierno-de-claudia-sheinbaum-estos-son-los-cambios-que-ha-habido-en-su-gabinete-592962.html,2026-05-01,alto,"Compitió directamente contra Sheinbaum por la candidatura presidencial de Morena en 2023; tiene peso político propio, no depende de ella para su relevancia.",,,,,,,,,
velasco,Roberto Velasco,Secretario de Relaciones Exteriores,Sheinbaum,,bajo,6,,RV,Asumió la SRE el 1 de abril de 2026 tras la salida de Juan Ramón de la Fuente por motivos de salud; enfrenta un contexto de tensión diplomática y comercial con Estados Unidos.,Periódico Correo,https://periodicocorreo.com.mx/nacional/2026/apr/02/gabinete-de-sheinbaum-cambios-en-areas-clave-a-ano-y-medio-de-su-gobierno-153761.html,2026-04-02,,,,,,,,,,,
