id,origen,destino,tipo_vinculo,fuerza,descripcion,fuente_url
c01,sheinbaum,amlo,padrinazgo,fuerte,"AMLO es el mentor político y fundador del movimiento que llevó a Sheinbaum a la Presidencia; su círculo mantiene influencia directa sobre decisiones estratégicas.",https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/
c02,amlo,andy,parentesco,fuerte,"Andy López Beltrán es hijo de AMLO y su operador político en Tabasco.",https://www.record.com.mx/historia/ee-uu-revoca-visa-a-hijos-de-amlo-aumenta-la-tension-con-politicos-mexicanos-2026081714081801658
c03,sheinbaum,garcia_harfuch,gabinete,fuerte,"Titular de la SSPC, gabinete de seguridad desde el inicio del sexenio.",https://es-us.finanzas.yahoo.com/noticias/conformado-gabinete-presidenta-claudia-sheinbaum-135858038.html
c04,sheinbaum,monreal,operador,fuerte,"Coordinador de la bancada de Morena en la Cámara de Diputados, pieza legislativa clave de la Presidencia.",https://madisonintelligence.substack.com/p/9-de-julio-2025
c05,sheinbaum,ebrard,gabinete,fuerte,"Secretario de Economía, a cargo de la negociación del T-MEC.",https://lasillarota.com/nacion/2026/5/1/gobierno-de-claudia-sheinbaum-estos-son-los-cambios-que-ha-habido-en-su-gabinete-592962.html
c06,sheinbaum,velasco,gabinete,medio,"Nuevo canciller designado el 1 de abril de 2026, aún en consolidación.",https://periodicocorreo.com.mx/nacional/2026/apr/02/gabinete-de-sheinbaum-cambios-en-areas-clave-a-ano-y-medio-de-su-gobierno-153761.html
c07,sheinbaum,godoy,gabinete,fuerte,"Fiscal General de la República, perfil cercano a la Presidenta desde su etapa en la CDMX.",https://www.elfinanciero.com.mx/nacional/2026/04/05/que-cambios-ha-hecho-claudia-sheinbaum-en-su-gabinete-presidencial/
c08,sheinbaum,montiel,operador,medio,"Dirigente nacional de Morena, designada para fortalecer la estructura partidista rumbo a 2027.",https://politica.expansion.mx/mexico/2026/04/29/cambios-gabinete-sheinbaum-para-tomar-control-en-morena
c09,adan_augusto,amlo,operador,fuerte,"Exlíder de Morena en el Senado, figura históricamente cercana al círculo de AMLO.",https://quinto-poder.mx/politicos/2026/04/04/reacomodo-del-gabinete-de-sheinbaum-en-lo-que-va-de-su-gobierno-65515.html
c10,ojeda,farias_manuel,parentesco,fuerte,"Manuel Roberto Farías Laguna es sobrino político del exsecretario de Marina Rafael Ojeda Durán.",https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/
c11,ojeda,farias_fernando,parentesco,fuerte,"Fernando Farías Laguna es sobrino político del exsecretario de Marina Rafael Ojeda Durán.",https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/
c12,farias_manuel,farias_fernando,parentesco,fuerte,"Los hermanos Farías Laguna son señalados como líderes conjuntos de la red de huachicol fiscal ('Los Primos').",https://zetatijuana.com/2026/03/huachicol-fiscal-y-la-naval-de-golpe-historico-al-olvido/
c13,alito,sheinbaum,confrontacion,fuerte,"El dirigente del PRI es señalado por la Presidencia de recurrir a presión de Estados Unidos contra adversarios políticos mexicanos.",https://www.viveusa.mx/noticias/sheinbaum-acusa-a-eu-de-injerencia-por-cancelar-la-visa-del-hijo-del-expresidente-lopez-obrador/
c14,trump,sheinbaum,presion-externa,fuerte,"El gobierno de Trump presiona a México en materia de huachicol fiscal, narcotráfico y revocación de visas a políticos mexicanos.",https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum
c15,rubio,andy,confrontacion,fuerte,"Andy López Beltrán acusó por carta al secretario de Estado Marco Rubio de actuar en su contra por motivos políticos tras la revocación de su visa.",https://www.record.com.mx/historia/ee-uu-revoca-visa-a-hijos-de-amlo-aumenta-la-tension-con-politicos-mexicanos-2026081714081801658
c16,trump,marina_pilar,presion-externa,medio,"El Departamento de Estado revocó la visa de la gobernadora de Baja California y su esposo dentro de la ola de retiros de visas a políticos mexicanos.",https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum
c17,gertz,ojeda,confrontacion,medio,"Gertz Manero declaró que Ojeda Durán había denunciado 'problemas' en la Semar; Ojeda no confirmó haber presentado una denuncia formal.",https://www.proceso.com.mx/nacional/justicia/2026/5/12/ojeda-nunca-denuncio-el-caso-de-huachicol-fiscal-en-el-que-estan-implicados-sus-sobrinos-373940.html
